100000.00,-7.47
945939.09,-8.54
1791878.17,-15.39
2637817.26,-22.28
3483756.35,-31.11
4329695.43,-53.17
5175634.52,-65.83
6021573.60,-69.13
6867512.69,-68.89
7713451.78,-68.52
8559390.86,-66.68
9405329.95,-69.47
10251269.04,-71.02
11097208.12,-72.75
11943147.21,-72.87
12789086.29,-71.60
13635025.38,-69.38
14480964.47,-71.64
15326903.55,-71.85
16172842.64,-74.87
17018781.73,-73.26
17864720.81,-72.42
18710659.90,-73.68
19556598.98,-73.21
20402538.07,-74.24
21248477.16,-75.55
22094416.24,-75.64
22940355.33,-72.94
23786294.42,-72.05
24632233.50,-71.17
25478172.59,-69.87
26324111.68,-71.10
27170050.76,-68.45
28015989.85,-71.44
28861928.93,-70.08
29707868.02,-68.63
30553807.11,-68.87
31399746.19,-70.75
32245685.28,-68.32
33091624.37,-72.68
33937563.45,-71.32
34783502.54,-73.98
35629441.62,-75.27
36475380.71,-71.02
37321319.80,-73.97
38167258.88,-75.59
39013197.97,-76.83
39859137.06,-74.07
40705076.14,-76.50
41551015.23,-74.96
42396954.31,-75.20
43242893.40,-75.66
44088832.49,-72.98
44934771.57,-74.73
45780710.66,-74.76
46626649.75,-72.95
47472588.83,-74.49
48318527.92,-74.92
49164467.01,-74.18
50010406.09,-75.02
50856345.18,-73.64
51702284.26,-70.83
52548223.35,-73.04
53394162.44,-73.97
54240101.52,-73.49
55086040.61,-74.23
55931979.70,-75.03
56777918.78,-75.29
57623857.87,-75.11
58469796.95,-72.73
59315736.04,-74.59
60161675.13,-73.97
61007614.21,-76.63
61853553.30,-74.91
62699492.39,-76.36
63545431.47,-74.12
64391370.56,-76.02
65237309.64,-75.10
66083248.73,-69.72
66929187.82,-72.51
67775126.90,-64.26
68621065.99,-71.02
69467005.08,-71.61
70312944.16,-65.49
71158883.25,-68.57
72004822.34,-59.69
72850761.42,-66.15
73696700.51,-69.57
74542639.59,-61.42
75388578.68,-67.18
76234517.77,-68.15
77080456.85,-72.71
77926395.94,-69.21
78772335.03,-71.99
79618274.11,-73.26
80464213.20,-71.91
81310152.28,-69.77
82156091.37,-68.98
83002030.46,-67.66
83847969.54,-67.42
84693908.63,-65.87
85539847.72,-64.95
86385786.80,-65.50
87231725.89,-64.42
88077664.97,-64.68
88923604.06,-66.20
89769543.15,-66.04
90615482.23,-69.54
91461421.32,-72.44
92307360.41,-70.50
93153299.49,-70.36
93999238.58,-72.35
94845177.66,-72.39
95691116.75,-73.00
96537055.84,-67.33
97382994.92,-68.13
98228934.01,-70.25
99074873.10,-74.70
99920812.18,-68.28
100766751.27,-73.69
101612690.36,-71.37
102458629.44,-74.96
103304568.53,-74.90
104150507.61,-73.66
104996446.70,-74.62
105842385.79,-76.16
106688324.87,-75.10
107534263.96,-76.05
108380203.05,-77.10
109226142.13,-73.99
110072081.22,-80.13
110918020.30,-75.64
111763959.39,-75.61
112609898.48,-77.51
113455837.56,-76.18
114301776.65,-76.37
115147715.74,-76.19
115993654.82,-74.98
116839593.91,-76.49
117685532.99,-75.66
118531472.08,-76.79
119377411.17,-77.69
120223350.25,-76.99
121069289.34,-76.08
121915228.43,-77.30
122761167.51,-75.98
123607106.60,-76.81
124453045.69,-75.34
125298984.77,-77.29
126144923.86,-73.79
126990862.94,-75.08
127836802.03,-76.60
128682741.12,-76.11
129528680.20,-77.48
130374619.29,-74.44
131220558.38,-75.02
132066497.46,-74.90
132912436.55,-76.09
133758375.63,-75.81
134604314.72,-73.91
135450253.81,-73.07
136296192.89,-75.37
137142131.98,-76.43
137988071.07,-75.46
138834010.15,-75.80
139679949.24,-76.38
140525888.32,-75.80
141371827.41,-76.06
142217766.50,-75.11
143063705.58,-73.83
143909644.67,-76.48
144755583.76,-75.97
145601522.84,-75.19
146447461.93,-75.10
147293401.02,-75.06
148139340.10,-74.61
148985279.19,-75.49
149831218.27,-75.25
150677157.36,-76.78
151523096.45,-76.49
152369035.53,-76.48
153214974.62,-75.97
154060913.71,-75.32
154906852.79,-75.73
155752791.88,-75.96
156598730.96,-75.24
157444670.05,-74.79
158290609.14,-75.45
159136548.22,-76.66
159982487.31,-74.36
160828426.40,-75.18
161674365.48,-74.37
162520304.57,-73.55
163366243.65,-72.87
164212182.74,-75.27
